# Frequency (Hz), SPL (dB), Phase (degrees)
515.000000, 0.634508, 0
522.000000, 0.631101, 0
530.000000, 0.627243, 0
538.000000, 0.623399, 0
545.000000, 0.619500, 0
552.000000, 0.615501, 0
560.000000, 0.611001, 0
570.000000, 0.605400, 0
580.000000, 0.599973, 0
590.000000, 0.594564, 0
600.000000, 0.589301, 0
608.000000, 0.581721, 0
615.000000, 0.569192, 0
622.000000, 0.556816, 0
630.000000, 0.542811, 0
640.000000, 0.525600, 0
650.000000, 0.508676, 0
660.000000, 0.491928, 0
670.000000, 0.475564, 0
680.000000, 0.459775, 0
690.000000, 0.452954, 0
700.000000, 0.446139, 0
710.000000, 0.439570, 0
720.000000, 0.432998, 0
730.000000, 0.426500, 0
740.000000, 0.420108, 0
750.000000, 0.413798, 0
762.000000, 0.406396, 0
775.000000, 0.403000, 0
788.000000, 0.400070, 0
800.000000, 0.397295, 0
812.000000, 0.394639, 0
825.000000, 0.391806, 0
838.000000, 0.389004, 0
850.000000, 0.386398, 0
862.000000, 0.379735, 0
875.000000, 0.367686, 0
885.000000, 0.358573, 0
900.000000, 0.345032, 0
912.000000, 0.334408, 0
925.000000, 0.323040, 0
938.000000, 0.311898, 0
950.000000, 0.301675, 0
962.000000, 0.290837, 0
975.000000, 0.269318, 0
988.000000, 0.248034, 0
1000.000000, 0.228626, 0
1015.000000, 0.204734, 0
1030.000000, 0.181130, 0
1044.000000, 0.159506, 0
1060.000000, 0.135027, 0
1075.000000, 0.112478, 0
1090.000000, 0.103159, 0
1106.000000, 0.098101, 0
1120.000000, 0.093801, 0
1138.000000, 0.088286, 0
1150.000000, 0.084693, 0
1172.000000, 0.078099, 0
1180.000000, 0.075771, 0
1206.000000, 0.068293, 0
1220.000000, 0.070834, 0
1241.000000, 0.080114, 0
1250.000000, 0.083999, 0
1265.000000, 0.090533, 0
1280.000000, 0.097000, 0
1315.000000, 0.111641, 0
1320.000000, 0.113698, 0
1340.000000, 0.121975, 0
1360.000000, 0.128549, 0
1380.000000, 0.079991, 0
1400.000000, 0.032069, 0
1430.000000, -0.038415, 0
1450.000000, -0.084651, 0
1475.000000, -0.141459, 0
1500.000000, -0.197421, 0
1525.000000, -0.252361, 0
1550.000000, -0.254700, 0
1575.000000, -0.254700, 0
1600.000000, -0.254700, 0
1625.000000, -0.254700, 0
1650.000000, -0.254700, 0
1675.000000, -0.254600, 0
1700.000000, -0.254600, 0
1725.000000, -0.246372, 0
1750.000000, -0.229267, 0
1775.000000, -0.212407, 0
1800.000000, -0.195673, 0
1825.000000, -0.179274, 0
1850.000000, -0.163090, 0
1875.000000, -0.147126, 0
1900.000000, -0.131375, 0
1925.000000, -0.120051, 0
1950.000000, -0.154953, 0
1975.000000, -0.189363, 0
2000.000000, -0.223416, 0
2030.000000, -0.263683, 0
2060.000000, -0.303365, 0
2090.000000, -0.342471, 0
2120.000000, -0.381022, 0
2140.000000, -0.406423, 0
2180.000000, -0.432800, 0
2200.000000, -0.435600, 0
2240.000000, -0.441193, 0
2270.000000, -0.445300, 0
2300.000000, -0.449309, 0
2330.000000, -0.453371, 0
2360.000000, -0.457329, 0
2400.000000, -0.462499, 0
2430.000000, -0.463197, 0
2470.000000, -0.450443, 0
2500.000000, -0.441027, 0
2540.000000, -0.428669, 0
2580.000000, -0.416503, 0
2620.000000, -0.404512, 0
2650.000000, -0.395578, 0
2690.000000, -0.383935, 0
2720.000000, -0.375152, 0
2760.000000, -0.353647, 0
