# Frequency (Hz), SPL (dB), Phase (degrees)
295.000000, 91.442200, 167.6691
300.000000, 91.480164, 167.7598
304.000000, 91.287300, 168.0612
307.000000, 91.246017, 168.2577
311.000000, 91.192749, 168.5512
315.000000, 91.138809, 168.8496
320.000000, 91.088890, 169.3576
325.000000, 91.058098, 169.9027
330.000000, 91.067261, 170.3828
335.000000, 91.096527, 170.6848
340.000000, 91.121254, 170.7877
345.000000, 91.137314, 170.5491
350.000000, 91.120071, 170.3209
355.000000, 91.087013, 170.1559
360.000000, 91.039383, 170.1577
365.000000, 90.978912, 169.9946
370.000000, 90.922165, 169.9864
375.000000, 90.867386, 170.0103
382.000000, 90.783424, 170.1294
387.000000, 90.729950, 170.1909
395.000000, 90.636932, 170.3782
400.000000, 90.576370, 170.5610
406.000000, 90.514832, 170.7320
412.000000, 90.455551, 170.9323
418.000000, 90.393135, 171.1964
425.000000, 90.319321, 171.3665
431.000000, 90.265572, 171.6909
437.000000, 90.208572, 171.9651
444.000000, 90.147636, 172.2198
450.000000, 90.086380, 172.5164
455.000000, 90.041702, 172.7586
462.000000, 89.982643, 173.0638
468.000000, 89.929916, 173.3921
475.000000, 89.875031, 173.7186
482.000000, 89.825363, 174.0366
487.000000, 89.782913, 174.3762
494.000000, 89.732430, 174.6757
500.000000, 89.683083, 175.0468
508.000000, 89.625603, 175.4723
515.000000, 89.578163, 175.8776
522.000000, 89.526352, 176.2553
530.000000, 89.475769, 176.6879
538.000000, 89.434540, 177.1535
545.000000, 89.376633, 177.6058
552.000000, 89.337677, 178.0019
560.000000, 89.289291, 178.4836
570.000000, 89.230286, 179.0851
580.000000, 89.178772, 179.6997
590.000000, 89.127434, -179.6664
600.000000, 89.078445, -179.0596
608.000000, 89.035660, -178.5081
615.000000, 89.005547, -178.0177
622.000000, 88.978386, -177.5744
630.000000, 88.945267, -177.0441
640.000000, 88.904114, -176.3700
650.000000, 88.863808, -175.6743
660.000000, 88.780937, -174.8320
670.000000, 88.799522, -174.3409
680.000000, 88.765923, -173.6517
690.000000, 88.731773, -172.9504
700.000000, 88.709656, -172.2365
710.000000, 88.689217, -171.4996
720.000000, 88.668831, -170.8132
730.000000, 88.644882, -170.0499
740.000000, 88.631432, -169.3298
750.000000, 88.613571, -168.5771
762.000000, 88.607323, -167.7308
775.000000, 88.593170, -166.7298
788.000000, 88.586891, -165.6962
800.000000, 88.588966, -164.8327
812.000000, 88.587646, -163.8786
825.000000, 88.598923, -162.9015
838.000000, 88.624344, -161.9196
850.000000, 88.630302, -161.0104
862.000000, 88.656761, -160.1157
875.000000, 88.685333, -159.1025
885.000000, 88.716431, -158.3164
900.000000, 88.838524, -157.3311
912.000000, 88.804924, -156.2835
925.000000, 88.852554, -155.3372
938.000000, 88.909729, -154.3993
950.000000, 88.967911, -153.5169
962.000000, 89.041847, -152.6846
975.000000, 89.099113, -151.8149
988.000000, 89.178329, -150.9552
1000.000000, 89.255035, -150.1476
1015.000000, 89.361534, -149.2149
1030.000000, 89.457787, -148.3427
1044.000000, 89.560020, -147.5884
1060.000000, 89.675537, -146.7285
1075.000000, 89.795486, -145.9553
1090.000000, 89.910416, -145.2878
1106.000000, 90.042564, -144.5943
1120.000000, 90.154282, -144.0222
1138.000000, 90.294777, -143.3910
1150.000000, 90.390892, -142.9626
1172.000000, 90.562187, -142.2885
1180.000000, 90.629089, -142.0967
1206.000000, 90.818390, -141.4344
1220.000000, 90.921036, -141.1216
1241.000000, 91.070946, -140.6880
1250.000000, 91.130455, -140.4626
1265.000000, 91.233368, -140.2216
1280.000000, 91.325272, -139.9420
1315.000000, 91.542992, -139.3864
1320.000000, 91.571625, -139.2919
1340.000000, 91.685616, -139.0261
1360.000000, 91.800308, -138.7003
1380.000000, 91.925583, -138.6846
1400.000000, 92.011620, -138.1400
1430.000000, 92.165337, -137.6788
1450.000000, 92.265366, -137.4005
1475.000000, 92.378937, -137.0325
1500.000000, 92.458214, -136.6465
1525.000000, 92.597031, -136.1336
1550.000000, 92.719757, -135.4299
1575.000000, 92.893166, -134.9138
1600.000000, 93.035110, -134.6007
1625.000000, 93.174782, -134.2481
1650.000000, 93.320992, -133.8551
1675.000000, 93.466698, -133.4887
1700.000000, 93.614212, -133.1590
1725.000000, 93.758339, -132.7822
1750.000000, 93.909622, -132.4952
1775.000000, 94.069061, -132.1456
1800.000000, 94.231758, -131.9883
1825.000000, 94.392220, -131.6115
1850.000000, 94.561676, -131.3689
1875.000000, 94.731636, -131.1555
1900.000000, 94.907730, -130.9982
1925.000000, 95.084229, -130.8763
1950.000000, 95.271805, -130.7812
1975.000000, 95.454002, -130.7670
2000.000000, 95.643417, -130.7697
2030.000000, 95.874451, -130.8436
2060.000000, 96.108543, -131.0092
