# Frequency (Hz), SPL (dB), Phase (degrees)
295.000000, 91.449440, 161.9118
300.000000, 91.256721, 162.4187
304.000000, 91.286636, 162.2535
307.000000, 91.228958, 162.3928
311.000000, 91.153221, 162.6633
315.000000, 91.078407, 162.9546
320.000000, 90.995834, 163.4383
325.000000, 90.920563, 164.0934
330.000000, 90.877548, 164.8492
335.000000, 90.886360, 165.6143
340.000000, 90.943695, 166.0870
345.000000, 91.016136, 166.1217
350.000000, 91.049835, 165.7818
355.000000, 91.026489, 165.3440
360.000000, 90.988640, 164.8878
365.000000, 90.903381, 164.8247
370.000000, 90.821167, 164.7408
375.000000, 90.742950, 164.7170
382.000000, 90.631790, 164.8234
387.000000, 90.556885, 164.9385
395.000000, 90.441299, 165.1984
400.000000, 90.374611, 165.3583
406.000000, 90.294861, 165.6061
412.000000, 90.216835, 165.8744
418.000000, 90.136909, 166.1692
425.000000, 90.055374, 166.4229
431.000000, 89.987045, 166.7780
437.000000, 89.915833, 167.0466
444.000000, 89.835220, 167.4343
450.000000, 89.771362, 167.7349
455.000000, 89.722328, 167.9941
462.000000, 89.648323, 168.3756
468.000000, 89.589653, 168.7442
475.000000, 89.516441, 169.1331
482.000000, 89.456268, 169.5984
487.000000, 89.401413, 169.8388
494.000000, 89.341118, 170.2513
500.000000, 89.282944, 170.6201
508.000000, 89.215721, 171.1077
515.000000, 89.154633, 171.5474
522.000000, 89.097588, 171.9890
530.000000, 89.028755, 172.4875
538.000000, 88.955383, 173.0273
545.000000, 88.917061, 173.4823
552.000000, 88.862991, 173.9449
560.000000, 88.801254, 174.4840
570.000000, 88.737076, 175.1553
580.000000, 88.670250, 175.8720
590.000000, 88.599342, 176.5737
600.000000, 88.537720, 177.2173
608.000000, 88.495148, 177.8439
615.000000, 88.454025, 178.3351
622.000000, 88.413933, 178.8426
630.000000, 88.371536, 179.4221
640.000000, 88.313629, -179.8126
650.000000, 88.270866, -179.1065
660.000000, 88.179756, -178.2360
670.000000, 88.181320, -177.5495
680.000000, 88.136528, -176.8345
690.000000, 88.093430, -176.0597
700.000000, 88.060547, -175.2643
710.000000, 88.026306, -174.5000
720.000000, 87.986809, -173.7773
730.000000, 87.967812, -172.9411
740.000000, 87.939240, -172.1539
750.000000, 87.910408, -171.2917
762.000000, 87.893181, -170.3366
775.000000, 87.868698, -169.2573
788.000000, 87.853584, -168.2047
800.000000, 87.840668, -167.2339
812.000000, 87.831490, -166.2104
825.000000, 87.828568, -165.1380
838.000000, 87.839180, -164.1499
850.000000, 87.833054, -163.0651
862.000000, 87.847404, -162.0334
875.000000, 87.865410, -160.9670
885.000000, 87.881104, -160.1383
900.000000, 87.965729, -158.2434
912.000000, 87.948036, -157.9768
925.000000, 87.994438, -156.8607
938.000000, 88.033279, -155.8559
950.000000, 88.082718, -154.9237
962.000000, 88.138412, -154.0653
975.000000, 88.197556, -153.0505
988.000000, 88.264114, -152.1042
1000.000000, 88.333435, -151.2453
1015.000000, 88.419365, -150.2476
1030.000000, 88.508095, -149.2218
1044.000000, 88.596977, -148.3214
1060.000000, 88.705154, -147.3745
1075.000000, 88.808563, -146.5097
1090.000000, 88.919083, -145.7214
1106.000000, 89.026306, -144.9595
1120.000000, 89.130402, -144.2677
1138.000000, 89.264778, -143.4722
1150.000000, 89.348137, -142.9644
1172.000000, 89.498100, -142.1793
1180.000000, 89.556946, -141.8830
1206.000000, 89.730957, -141.0177
1220.000000, 89.819443, -140.6193
1241.000000, 89.952988, -140.0004
1250.000000, 90.007805, -139.7484
1265.000000, 90.090538, -139.4165
1280.000000, 90.177177, -138.9852
1315.000000, 90.369949, -138.1368
1320.000000, 90.398102, -138.0128
1340.000000, 90.490631, -137.5524
1360.000000, 90.587852, -137.0726
1380.000000, 90.699921, -136.5634
1400.000000, 90.772728, -136.1530
1430.000000, 90.897263, -135.4562
1450.000000, 90.984520, -134.9621
1475.000000, 91.090630, -134.3222
1500.000000, 91.160255, -133.6166
1525.000000, 91.298775, -133.0620
1550.000000, 91.403679, -132.3994
1575.000000, 91.509995, -131.7137
1600.000000, 91.618027, -131.0347
1625.000000, 91.736649, -130.3633
1650.000000, 91.846436, -129.7070
1675.000000, 91.963242, -129.0048
1700.000000, 92.079712, -128.3210
1725.000000, 92.202919, -127.6652
1750.000000, 92.325386, -126.9190
1775.000000, 92.460121, -126.2597
1800.000000, 92.623856, -125.5514
1825.000000, 92.736526, -124.8666
1850.000000, 92.879951, -124.2329
1875.000000, 93.034630, -123.6031
1900.000000, 93.187393, -122.9580
1925.000000, 93.349487, -122.3553
1950.000000, 93.510895, -121.7614
1975.000000, 93.678444, -121.2193
2000.000000, 93.853561, -120.6699
2030.000000, 94.068405, -120.0512
2060.000000, 94.291405, -119.4979
2090.000000, 94.518982, -118.9517
2120.000000, 94.753387, -118.4650
2140.000000, 94.912552, -118.1632
2180.000000, 95.243553, -117.6633
2200.000000, 95.409752, -117.4309
2240.000000, 95.757622, -117.0904
2270.000000, 96.022247, -116.9260
2300.000000, 96.292007, -116.8238
2330.000000, 96.569977, -116.7859
2360.000000, 96.855392, -116.8645
2400.000000, 97.234306, -117.0598
2430.000000, 97.534943, -117.3838
2470.000000, 97.928215, -117.9351
2500.000000, 98.227478, -118.4855
2540.000000, 98.625824, -119.4113
2580.000000, 99.028534, -120.5334
2620.000000, 99.423401, -121.9138
2650.000000, 99.720398, -123.1192
2690.000000, 100.113968, -124.9677
2720.000000, 100.403320, -126.5708
2760.000000, 100.776039, -129.0361
2800.000000, 101.123260, -131.9400
2850.000000, 101.493553, -136.2354
2900.000000, 101.730141, -141.2509
2950.000000, 101.779434, -146.6087
3000.000000, 101.626442, -151.7243
3040.000000, 101.384972, -155.2775
3070.000000, 101.164452, -157.5282
3110.000000, 100.841110, -160.0000
3150.000000, 100.513168, -161.9426
3200.000000, 100.110336, -163.7903
3250.000000, 99.737648, -165.1465
3300.000000, 99.393707, -166.1611
3350.000000, 99.069038, -166.9251
3400.000000, 98.770706, -167.5002
3450.000000, 98.489143, -167.9237
3500.000000, 98.224518, -168.2057
3550.000000, 97.974480, -168.3715
3600.000000, 97.732788, -168.4619
3650.000000, 97.511261, -168.4617
3700.000000, 97.290520, -168.4046
3750.000000, 97.079697, -168.2593
3820.000000, 96.796432, -167.8901
3870.000000, 96.604652, -167.5333
3950.000000, 96.317329, -166.7488
4000.000000, 96.146027, -166.1471
4060.000000, 95.966965, -165.3453
4120.000000, 95.809074, -164.4510
4180.000000, 95.680054, -163.5002
4250.000000, 95.559418, -162.3881
4310.000000, 95.483047, -161.4890
4370.000000, 95.417603, -160.5996
4440.000000, 95.366806, -159.6755
4500.000000, 95.337448, -158.9273
4550.000000, 95.304367, -158.3456
4620.000000, 95.274986, -157.6505
4680.000000, 95.260529, -157.0569
4750.000000, 95.235245, -156.4328
4820.000000, 95.212906, -155.8211
4870.000000, 95.203003, -155.4297
4940.000000, 95.183342, -154.8609
5000.000000, 95.168381, -154.3689
5080.000000, 95.150696, -153.6773
5150.000000, 95.137672, -153.0197
5220.000000, 95.142616, -152.3313
5300.000000, 95.179977, -151.5528
5380.000000, 95.240479, -150.8340
5450.000000, 95.311516, -150.3155
5520.000000, 95.399719, -149.9225
5600.000000, 95.500702, -149.6750
5700.000000, 95.640289, -149.6179
5800.000000, 95.783600, -149.8598
5900.000000, 95.905869, -150.3425
6000.000000, 96.011192, -151.0282
6080.000000, 96.071968, -151.8012
6150.000000, 96.106750, -152.4981
6220.000000, 96.129440, -153.2488
6300.000000, 96.142433, -154.1289
6400.000000, 96.129028, -155.2072
6500.000000, 96.100174, -156.2715
6600.000000, 96.070541, -157.3456
6700.000000, 96.019791, -158.4278
6800.000000, 95.968346, -159.5803
6900.000000, 95.903069, -160.7560
7000.000000, 95.816650, -161.8999
7100.000000, 95.724251, -163.0314
7200.000000, 95.638283, -164.1212
